2.20 .417 1.35 1.79 351
2.10 .354 0.90 1.08 249
1.52 .208 0.71 0.47 171
2.88 .335 0.90 1.48 373
2.18 .314 1.26 1.09 321
1.87 .271 1.15 0.99 191
1.52 .164 0.83 0.85 225
2.37 .302 0.89 0.94 291
2.06 .373 0.79 0.80 284
1.84 .265 0.72 0.77 213
1.89 .192 0.46 0.46 138
2.45 .221 0.76 0.95 213
1.88 .186 0.52 0.95 151
1.93 .207 0.60 0.92 130
1.80 .157 0.67 0.60  93
1.81 .195 0.47 0.57  95
1.49 .165 0.66 0.80 147
1.53 .226 0.68 0.66  88
1.43 .224 0.44 0.45  65
1.54 .271 0.51 0.95 120
1.13 .187 0.38 0.63  72
1.63 .200 0.62 1.10 160
1.36 .211 0.71 0.47  72
1.76 .283 0.96 0.96 252
2.53 .284 0.85 1.39 310
2.59 .303 1.02 0.95 336
